emp_no,first_name,last_name,dept_name
11567,Teiji,Mitzlaff,Sales
11568,Martins,Fujisaki,Development
11603,Herb,Swen,Finance
11607,Tomokazu,Foong,Production
11615,Shem,Isaak,Sales
11624,Adil,Gammage,Production
11628,Fan,Malinowski,Development
11628,Fan,Malinowski,Research
11640,Valeri,Coorg,Development
11647,Magy,Nitsche,Development
11660,Gill,Stenning,Sales
11673,Henk,Felder,Production
11676,Valeri,Ferriere,Production
11681,Fumitake,Benzmuller,Production
11684,Oksana,Gide,Marketing
11696,Dante,Rothe,Sales
11732,Sanjoy,Ranft,Production
11732,Sanjoy,Ranft,Customer Service
11735,Amalendu,Picci,Customer Service
11746,Koichi,Marrakchi,Sales
11751,Jiafu,Emiris,Research
11764,Sanjay,Anick,Production
11769,Chandrasekaran,Lampe,Development
11769,Chandrasekaran,Lampe,Research
11772,Gaurav,Penz,Development
11797,Chenxi,Thambidurai,Marketing
11797,Chenxi,Thambidurai,Sales
11810,Amabile,Bhattacharjee,Development
11817,Niranjan,Markovitch,Sales
11832,Arto,Zlotek,Development
11844,Shawna,Demeyer,Development
11853,Zeljko,Kusakabe,Marketing
11857,Divier,Farrag,Sales
11864,Pradeep,Kriebel,Customer Service
11871,Nalini,Sommen,Development
11872,Cheong,Riexinger,Marketing
11894,Mitchel,Validov,Development
11897,Cordelia,Setlzner,Sales
11906,Hideo,Boguraev,Development
11915,Miomir,Mawatari,Production
11931,Gunilla,Chiodo,Research
11933,Basil,Erman,Development
11949,Martijn,Harbusch,Production
11983,Jaana,Hedayat,Development
11993,Marit,Dalphin,Human Resources
12011,Zhilian,Coorg,Sales
12036,Mads,Ratzlaff,Marketing
12036,Mads,Ratzlaff,Sales
12037,Arunas,Katzenelson,Customer Service
12050,Yuchang,Tchuente,Production
12062,Margareta,Worfolk,Human Resources
12069,Ayonca,Burnard,Development
12070,Ger,Shokrollahi,Development
12076,Karlis,Siprelle,Sales
12082,Xinan,Yamaashi,Sales
12089,Bilhanan,Socorro,Human Resources
12099,Nobuyoshi,Kuzuoka,Sales
12112,Satyanarayana,Avouris,Finance
12122,Satoru,Krone,Production
12123,Xiahua,Syrzycki,Research
12125,Shounak,Erman,Production
12125,Shounak,Erman,Development
12149,Suebskul,Grandbois,Sales
12159,Shem,Perly,Development
12165,Xiaobin,Maquelin,Development
12183,Harngdar,Iisaku,Quality Management
12192,Feiyu,Klyachko,Quality Management
12205,Sushant,Rossi,Development
12206,Barton,Janetzko,Development
12218,Yaghout,Strooper,Quality Management
12221,Vincent,Melter,Development
12222,Abdelwaheb,Holburn,Finance
12223,Niteen,Koyama,Production
12247,Subbu,Penttonen,Development
12249,Eldridge,Sadowski,Development
12256,Guadalupe,Reghbati,Human Resources
12264,Mart,Pagter,Development
12270,Shakhar,Kornyak,Research
12272,Behnaam,Grandbois,Human Resources
12308,Mototsugu,Cronau,Finance
12308,Mototsugu,Cronau,Human Resources
12311,Susanne,Lubachevsky,Development
12327,DAIDA,Bruckman,Development
12341,Rasiah,Luga,Development
12343,Sorina,Slaats,Production
12343,Sorina,Slaats,Customer Service
12365,Kamakshi,Bisiani,Production
12373,Mooi,Driscoll,Sales
12395,Sanjit,Felder,Finance
12399,Mihalis,Luga,Sales
12411,Shao,Ibel,Sales
12413,Hugh,Gadepally,Production
12417,Dannz,Spelt,Production
12422,Berhard,Demos,Human Resources
12454,Kerryn,Farris,Sales
12464,Shai,Milicic,Sales
12475,Filipe,Roison,Development
12487,Mona,Reghbati,Finance
12487,Mona,Reghbati,Human Resources
12489,Arnould,Munck,Development
12490,Jackson,Muchinsky,Development
12497,Stein,Penz,Sales
12501,Morrie,Matheson,Finance
12504,Adly,Rosaz,Production
12514,Tomofumi,Melter,Development
12528,Conor,Cincotta,Customer Service
12534,Yongmao,Gerlach,Production
12541,Shih,Nanard,Sales
12542,Kazuhide,Bouloucos,Human Resources
12551,Jeane,Tzvieli,Production
12553,Aral,Vesna,Human Resources
12557,Stafford,Kopetz,Production
12557,Stafford,Kopetz,Quality Management
12589,Anoosh,Chleq,Development
12596,Breannda,Roisin,Human Resources
12601,Ghassan,Simkin,Development
12608,Nectarios,Mondadori,Human Resources
12635,Xinyu,Restivo,Production
12635,Xinyu,Restivo,Customer Service
12638,Yuqun,Seiwald,Development
12642,Suebskul,Gips,Marketing
12651,Pragnesh,Bael,Sales
12662,Leucio,Alvarado,Development
12663,Nobuyoshi,Stellhorn,Development
12664,Zhonghua,Parveen,Sales
12664,Zhonghua,Parveen,Customer Service
12689,Luerbio,Boudaillier,Development
12691,Oddvar,Gils,Production
12697,Uri,Brizzi,Human Resources
12709,Ronghao,Botman,Development
12717,Tzu,Jiafu,Research
12722,Elliott,Cheshire,Finance
12726,Fumitake,Panwar,Development
12729,Nahla,Rahier,Production
12729,Nahla,Rahier,Customer Service
12731,Yongmao,Waymire,Human Resources
12732,Mara,Takanami,Sales
12734,Gil,Frijda,Development
12755,Rildo,Rodite,Human Resources
12773,Jenwei,Lovengreen,Development
12790,Gunilla,Perl,Sales
12795,Masoud,Fordan,Finance
12798,Lillian,Beeson,Sales
12803,Gad,Boissier,Marketing
12803,Gad,Boissier,Sales
12815,Sushant,Junot,Research
12819,Mountaz,Gubsky,Production
12848,Kazuhide,Smeets,Development
12863,Leif,Matheson,Production
12872,Marl,Schmittgen,Sales
12879,Baruch,Eugenio,Development
12890,Neven,Casley,Sales
12893,Licheng,Crouzet,Sales
12895,Roddy,Serot,Production
12905,Munehiro,Gecsei,Development
12926,Heekeun,Luby,Research
12940,Odinaldo,Farrar,Development
12941,Tommaso,Perelgut,Development
12949,Geoff,Asrin,Development
12977,Byong,Markovitch,Development
12983,Elliott,Hambrick,Finance
13030,Yahiko,Kroll,Marketing
13046,Vivian,Stafford,Finance
13047,Atilio,Chelton,Development
13075,Rosella,Morrin,Marketing
13075,Rosella,Morrin,Sales
13076,Deniz,Skafidas,Development
13096,Ibibia,Armand,Quality Management
13103,Srinidhi,Ellozy,Development
13124,Quingbo,Garnick,Sales
13133,Guther,Senzako,Marketing
13133,Guther,Senzako,Customer Service
13134,Lorien,Chepyzhov,Production
13144,Persi,Nollmann,Finance
13146,Haldon,Erie,Sales
13147,Shichao,Ginesta,Sales
13156,Akeel,Millington,Development
13165,Lucian,Benner,Quality Management
13168,Munir,Stentiford,Production
13170,Cheong,Bernardeschi,Finance
13170,Cheong,Bernardeschi,Human Resources
13171,Anoosh,Birnbaum,Quality Management
13173,Arve,Horswill,Sales
13179,Moty,Janocha,Sales
13182,Kokou,Rodite,Production
13186,Kyoichi,Barbanera,Sales
13192,Rosita,Flowers,Production
13192,Rosita,Flowers,Development
13202,Aram,Scharstein,Research
13210,Jianhua,Klassen,Marketing
13210,Jianhua,Klassen,Sales
13213,Hein,Billawala,Sales
13232,Mitchel,Fujisaki,Development
13233,Alselm,Chvatal,Development
13238,Ebru,Foote,Sales
13240,King,Pileggi,Development
13250,Zeydy,Schusler,Production
13272,Arun,Jiang,Customer Service
13276,Yechiam,Seuren,Finance
13288,Muneo,Broomell,Human Resources
13291,Georg,Stamatiou,Development
13302,Mack,Alencar,Development
13315,Sakthirel,Stroustrup,Development
13332,Nidapan,Pearson,Production
13333,Yoshinari,Hennebert,Production
13333,Yoshinari,Hennebert,Development
13341,Bodh,Doering,Marketing
13343,Heon,Usery,Finance
13343,Heon,Usery,Human Resources
13368,Kiyokazu,Klassen,Human Resources
13371,Nakhoon,Riexinger,Production
13373,Juichirou,Naumovich,Finance
13373,Juichirou,Naumovich,Human Resources
13385,Claudi,Buchter,Human Resources
13386,Khosrow,Sgarro,Development
13389,Divine,Cmelik,Research
13392,Fumitake,Beidas,Sales
13396,Chuanyi,Aumann,Customer Service
13402,Augustine,Dulli,Development
13402,Augustine,Dulli,Research
13405,Randy,Baba,Sales
13407,Gio,Chenoweth,Production
13408,Sreekrishna,Lagarias,Production
13415,Nathalie,Speer,Quality Management
13422,Vishwani,Gerlach,Production
13422,Vishwani,Gerlach,Quality Management
13442,Giordano,Miake,Human Resources
13443,Mayuko,Puppo,Quality Management
13445,Renee,Dehkordi,Production
13451,Gretta,Weiland,Human Resources
13457,Shooichi,Parfitt,Quality Management
13458,Feipei,Nivat,Production
13458,Feipei,Nivat,Customer Service
13463,Theron,Berstel,Production
13465,Sasan,Rehfuss,Production
13493,Uinam,Jullig,Development
13504,Parto,Mandell,Development
13524,Chaoyi,Porotnikoff,Sales
13535,Arunas,Schlenzig,Production
13546,Aimee,Brookner,Production
13549,Matk,Koprowski,Development
13552,Ingmar,Capobianchi,Research
13576,Jungsoon,Engberts,Development
13576,Jungsoon,Engberts,Research
13605,Dmitry,Encarnacion,Sales
13621,Fei,Haddadi,Development
13624,Zhigen,Yurek,Human Resources
13629,Dzung,Trelles,Development
13648,Zejun,Lamba,Production
13653,Kristen,Iivonen,Human Resources
13670,Moti,Takanami,Development
13680,Denny,Speer,Sales
13685,Weicheng,Hockney,Development
13697,Shuichi,Weedon,Development
13704,Vishu,Kumaresan,Production
13721,Sugwoo,Delgrossi,Sales
13727,Vitali,Merey,Human Resources
13738,Bangqing,Mitchem,Development
13766,Tremaine,Heemskerk,Customer Service
13769,Yakichi,Trogemann,Sales
13775,Arve,Maierhofer,Sales
13786,Takushi,Berendt,Sales
13787,Xiaobin,Sinicrope,Production
13792,Valery,Sury,Finance
13796,Paloma,Thorelli,Development
13809,Kiyotoshi,Basagni,Customer Service
13815,Guadalupe,Plotkin,Production
13825,Arlette,Pell,Production
13841,Christophe,Spinelli,Production
13841,Christophe,Spinelli,Quality Management
13842,Juichirou,Cichocki,Research
13846,Guiseppe,Welham,Research
13853,Mingsen,Roohalamini,Research
13859,Anoosh,Fujisawa,Development
13884,Kensei,Swift,Production
13894,Ult,Schonegge,Production
13904,Youngkon,Cairo,Development
13934,Shiv,Bratsberg,Development
13942,Elzbieta,Esteva,Development
13951,Mooi,Genther,Sales
13960,Nechama,Hettesheimer,Finance
13962,Maris,Ghelli,Production
13966,Boguslaw,Cooman,Customer Service
13969,Jianwen,Chandrasekhar,Development
13990,Deborah,Schapiro,Development
13992,Ulises,Kenevan,Finance
13999,Florian,Crouzet,Human Resources
14005,Vojin,Stellhorn,Development
14005,Vojin,Stellhorn,Quality Management
14015,Manibrata,Picaronny,Production
14015,Manibrata,Picaronny,Quality Management
14034,Aloys,Seghrouchni,Finance
14041,Shan,DeMori,Marketing
14067,Godehard,Trachtenberg,Production
14088,Mori,Leslie,Research
14107,Xiahua,Rindone,Marketing
14111,Leszek,Cummings,Customer Service
14118,Kasturi,Anido,Customer Service
14167,Adas,Hertweck,Production
14191,Jiann,Luby,Development
14209,Masanao,Kusakabe,Research
14220,Tomofumi,Pargas,Production
14232,Masali,Bojadziev,Development
14236,Xuedong,Angiulli,Research
14237,Abdulla,Gerlach,Production
14237,Abdulla,Gerlach,Customer Service
14242,Sudhanshu,Benaini,Customer Service
14257,Kwok,Massonet,Production
14257,Kwok,Massonet,Customer Service
14290,Miyeon,Olivero,Production
14292,Susanna,Vigier,Research
14298,Chriss,Granlund,Production
14310,Marlo,Leuchs,Sales
14320,Sreenivas,Schaar,Production
14322,Shem,Kakkad,Development
14323,Golgen,Leslie,Production
14323,Golgen,Leslie,Customer Service
14340,Vitaly,Wixon,Production
14344,Otilia,Buescher,Production
14354,Mong,Bojadziev,Sales
14360,Janche,Erbe,Research
14372,Saniya,Srimani,Development
14372,Saniya,Srimani,Research
14384,Tomofumi,Holburn,Development
14422,Toshimo,Gadepally,Production
14434,Elvis,Maginnis,Development
14439,Raimond,Woycyznski,Quality Management
14460,Yagil,Lueh,Production
14478,Munehiro,Boissier,Sales
14481,Moti,Lammel,Production
14483,Supot,Marrevee,Development
14486,Indrajit,Birdsall,Production
14498,Xiong,Selenyi,Human Resources
14501,Taizo,Kroft,Production
14509,Danil,Aloia,Finance
14513,Samphel,Barreiro,Marketing
14513,Samphel,Barreiro,Sales
14515,Kazuhisa,Versino,Quality Management
14516,Kristian,Underwood,Sales
14518,Patricia,Peir,Production
14522,Chuanyi,Ranta,Finance
14537,Babette,Engelmann,Quality Management
14552,Ibibia,Snyers,Development
14556,Fatemeh,Zultner,Production
14560,Elrique,Driscoll,Development
14581,Gao,Condotta,Development
14582,Kiyokazu,Morrin,Development
14600,Jayson,Cairo,Customer Service
14603,Lech,Marquardt,Development
14607,Suzette,Selvestrel,Sales
14620,Jianhua,Erev,Production
14621,Souichi,Wixon,Sales
14632,Gudjon,McClurg,Quality Management
14639,Arvind,Hempstead,Sales
14640,Toshimori,Kornatzky,Development
14642,Florian,Kuhnemann,Development
14645,Laurentiu,Glinert,Development
14648,IEEE,Lorys,Sales
14659,Sashi,Adachi,Quality Management
14675,Teunis,Angel,Human Resources
14677,Herbert,Sifakis,Production
14683,Alois,Basart,Production
14683,Alois,Basart,Customer Service
14690,Yechezkel,Bellone,Development
14693,Brewster,Stranks,Customer Service
14710,Mahmut,Hainaut,Marketing
14723,Constantino,Assaf,Human Resources
14724,Aron,Lemarechal,Finance
14780,Marlo,Bruckman,Production
14785,Zhonghua,Kaiser,Production
14785,Zhonghua,Kaiser,Customer Service
14793,Stein,Uchoa,Development
14814,Odysseas,Nishimukai,Customer Service
14817,Gaurav,Masaki,Development
14817,Gaurav,Masaki,Research
14821,Oguz,Kilgore,Development
14839,Changho,Cronin,Development
14853,Taiji,Nergos,Development
14877,Arto,Meriste,Development
14879,Anyuan,Sigstam,Development
14888,Temple,Barriga,Sales
14899,Alejandro,Casley,Finance
14899,Alejandro,Casley,Sales
14906,Adil,Parveen,Research
14908,Kerhong,Flanders,Production
14908,Kerhong,Flanders,Development
14909,Mohan,Kamble,Development
14911,Xiaobin,Chelton,Production
14914,Gretta,Benzaken,Development
14915,Huican,Picco,Production
14923,Shuzo,Gyorkos,Development
14928,Satoru,Mukaidono,Human Resources
14941,Nathan,Lichtner,Development
14942,Heon,Benveniste,Quality Management
14949,Insup,Reinhart,Production
14954,Fox,Magliocco,Development
14971,Fan,Simmen,Finance
14983,Hyuckchul,Pouyioutas,Marketing
14993,Sanjay,Koblitz,Development
15005,Kiam,Sadowsky,Production
15016,Woody,Gulik,Finance
15018,Ramalingam,Prenel,Marketing
15019,Qingxiang,Shokrollahi,Production
15019,Qingxiang,Shokrollahi,Quality Management
15029,Giordano,Koshino,Customer Service
15030,Rasikan,Nourani,Sales
15036,Ziva,Delgrande,Development
15049,Khun,Waymire,Customer Service
15052,Flemming,Kranzdorf,Production
15055,Shrikanth,Sherertz,Research
15066,Tomokazu,Oaver,Development
15069,Manton,Siksek,Production
15071,Ayonca,Couchot,Sales
15075,Radoslaw,Rijsenbrij,Production
15077,Toshiki,Taubenfeld,Production
15082,Guadalupe,Zirintsis,Development
15087,Chirstian,Ushiama,Production
15089,Giri,Coney,Development
15092,Remmert,Bahi,Customer Service
15102,Luigi,Axelband,Production
15105,Sudhanshu,Itzigehl,Marketing
15105,Sudhanshu,Itzigehl,Sales
15114,Pantung,Honglei,Development
15134,Arun,Luiz,Sales
15145,Haldon,Servieres,Production
15151,Urs,Pouyioutas,Marketing
15151,Urs,Pouyioutas,Sales
15176,Charlene,Sankaranarayanan,Sales
15193,Neelam,Schach,Development
15196,Souichi,Duclos,Development
15202,Pranay,Irland,Production
15202,Pranay,Irland,Development
15208,Sudharsan,Shokrollahi,Research
15218,Shuky,Conry,Finance
15228,Mona,Salvesen,Human Resources
15230,Keiichiro,Suessmith,Development
15234,Jouko,Zhiwei,Development
15237,Reinhard,Sadowsky,Development
15243,Mountaz,Famili,Finance
15248,Edwin,Baar,Marketing
15253,Ayonca,Pardalos,Production
15269,Eric,Reghbati,Production
15271,Shiv,Bernardeschi,Sales
15292,Miyeon,Lammel,Sales
15324,Ziya,Lunn,Production
15329,Fan,Openshaw,Development
15330,Jaroslava,Chinal,Sales
15337,Masaru,Radivojevic,Quality Management
15343,Chaosheng,Luce,Quality Management
15354,Chikara,Nyrup,Customer Service
15365,Mikhail,Schiettecatte,Development
15369,Premal,Penttonen,Sales
15370,Chuanyi,Nilsson,Development
15370,Chuanyi,Nilsson,Research
15372,Nahum,Broder,Sales
15375,Shuho,Manders,Finance
15377,Shugo,Aumann,Development
15382,Alassane,Siegrist,Sales
15392,Pradeep,Markovitch,Development
15408,Maik,Penttonen,Research
15410,Wilmer,Kushner,Marketing
15410,Wilmer,Kushner,Sales
15412,Huai,Thiria,Development
15438,Constantijn,Munoz,Finance
15441,Arvind,Weisert,Research
15452,Kazuhira,Weedman,Development
15454,Hongzue,Cesareni,Sales
15470,Weiwu,Huhdanpaa,Production
15474,Gilbert,Plumb,Sales
15479,Zhenbing,Soicher,Production
15480,Kwok,Trogemann,Development
15504,Kasturi,Alpin,Development
15505,Collette,Mikschl,Production
15510,Inderjeet,Sethi,Development
15511,George,Kowalchuk,Sales
15518,Uno,Valtorta,Development
15525,Masadi,Cherinka,Development
15534,Guozhong,Grabner,Finance
15543,Mingdong,Staelin,Production
15548,Sanjai,Caine,Development
15548,Sanjai,Caine,Research
15563,Constantino,Zykh,Customer Service
15565,True,Muchinsky,Marketing
15566,Baoqiu,Azuma,Sales
15600,Mack,Perna,Production
15601,Carrsten,Anily,Sales
15651,Huan,Iwayama,Production
15656,Mohammad,Schaaf,Marketing
15682,Hiroyasu,Przulj,Quality Management
15687,Dekang,Ambroszkiewicz,Finance
15703,Chenye,Hanratty,Development
15708,Reuven,Kushnir,Sales
15714,Troy,Bala,Production
15715,Insup,Ibel,Marketing
15715,Insup,Ibel,Sales
15726,Zhilian,Parascandalo,Marketing
15739,Poorav,Bahr,Development
15740,Stepehn,Pocchiola,Sales
15750,Arumugam,Bresenham,Production
15765,Tonny,Taubenfeld,Development
15767,Baocai,Broomell,Production
15769,Pranay,Oskamp,Marketing
15788,Taegyun,Deyuan,Production
15799,Manton,Gelosh,Sales
15809,Mingsen,Antonisse,Finance
15819,Magdalena,Rajcani,Marketing
15819,Magdalena,Rajcani,Sales
15821,Aleksander,Antonakopoulos,Development
15846,Bowen,Litecky,Production
15861,Gio,Anido,Marketing
15866,Angel,Seiwald,Production
15866,Angel,Seiwald,Quality Management
15869,Guoxiang,Bala,Production
15876,Munehiro,Vakili,Development
15877,Yannik,Kroll,Production
15880,Miquel,Dechter,Production
15889,Sasan,Azumi,Development
15892,Lunjin,Pettis,Production
15901,Marsja,Fargier,Production
15901,Marsja,Fargier,Quality Management
15902,Kazuhide,Stille,Research
15905,DeForest,Petersohn,Production
15911,Shaibal,Viele,Production
15911,Shaibal,Viele,Customer Service
15934,Kensyu,Shinomoto,Production
15938,Garnik,Covnot,Sales
15942,Murthy,Rosca,Production
15943,Yakkov,Demke,Production
15943,Yakkov,Demke,Quality Management
15945,Hauke,Larfeldt,Production
15948,Karoline,Versino,Development
15955,Yuguang,Dratva,Production
15971,Arumugam,Aloia,Development
15977,King,Ballarin,Research
15978,Kaijung,Wielonsky,Production
15978,Kaijung,Wielonsky,Quality Management
15993,Yoshimitsu,Peir,Development
16000,Marek,Demos,Production
16018,Boutros,Papadias,Production
16019,Chaoyi,Heystek,Development
16019,Chaoyi,Heystek,Research
16025,Doowon,Luce,Development
16028,JiYoung,Takkinen,Production
16033,Wayne,Spelt,Finance
16052,Maria,Rodham,Development
16066,Marsha,Penn,Sales
16068,Leandro,Zongker,Finance
16076,Marko,Ebeling,Development
16077,Kannan,Heemskerk,Development
16086,Mohammad,Denos,Development
16094,Berto,Rosar,Development
16099,Mohan,Ferretti,Human Resources
16126,Tse,Crabtree,Customer Service
16130,Kerryn,Belinskaya,Development
16134,Annemarie,Chaudhuri,Development
16138,Leucio,Krzyzanowski,Marketing
16154,Monique,Docker,Quality Management
16185,Marin,Winter,Development
16192,Leandro,Sigstam,Production
16192,Leandro,Sigstam,Customer Service
16201,Krassimir,Olano,Development
16227,Hitomi,Vural,Production
16229,Ronnie,Lanzelotte,Customer Service
16230,Ung,Babu,Production
16230,Ung,Babu,Customer Service
16233,Sushant,Baba,Sales
16234,Jacopo,Basart,Customer Service
16246,Makato,Masaki,Production
16252,Carrsten,Mattern,Production
16266,Mikhail,Sethi,Sales
16272,Shuho,Zeleznik,Development
16272,Shuho,Zeleznik,Research
16274,Sadun,Navazio,Finance
16324,Billie,Bazzichi,Human Resources
16337,Hironoby,Schaad,Production
16341,Boutros,Fendler,Research
16355,Nikolaos,Luca,Sales
16364,Yifei,Gini,Sales
16365,Janalee,Mellouli,Research
16377,Duri,Stanger,Production
16380,Zhilian,Chleq,Customer Service
16382,Chaoyi,Talmon,Production
16383,Lidong,Czap,Production
16388,Subhankar,Georgatos,Customer Service
16397,Shimshon,Cusworth,Finance
16398,Limsoon,Krzyzanowski,Sales
16399,Apostol,Collette,Sales
16399,Apostol,Collette,Customer Service
16404,Rafols,Rabehasaina,Production
16412,Moss,Tokunaga,Production
16425,Idoia,Beerel,Production
16438,Abdulla,Demeyer,Production
16446,Jouko,Chinin,Sales
16447,Zhiguo,Savasere,Production
16447,Zhiguo,Savasere,Development
16448,Tsvetan,Zwicker,Development
16453,Goncalo,Basart,Human Resources
16471,Bogdan,Birta,Research
16479,Jixiang,Eiter,Finance
16486,Sanjay,Perin,Research
16487,Arunas,Yemenis,Sales
16490,Muzhong,Thiria,Sales
16491,Emdad,Radwan,Customer Service
16504,Mong,Cromarty,Development
16510,Mototsugu,Vecchio,Customer Service
16537,Weidon,Seiwald,Development
16539,Gretta,Fetvedt,Production
16546,Sangeeta,Lanphier,Development
